     A  via   certified             record        margin     status
   1.0  SDP   1.9988807616146564  1.960200  +1.9733%  ok
   1.5  LP    1.4127418167001884  1.408900  +0.2727%  ok
   2.0  LP    1.2987479784479683  1.293300  +0.4212%  ok
   2.5  LP    1.2441416449469831  1.237800  +0.5123%  ok
   3.0  LP    1.2117900400264989  1.204900  +0.5718%  ok
   3.5  LP    1.1903272644160168  1.183000  +0.6194%  ok
   4.0  LP    1.1750163119424673  1.167300  +0.6610%  ok
   4.5  LP    1.1635357948393363  1.155500  +0.6954%  ok
   5.0  LP    1.1545963838346471  1.146700  +0.6886%  ok
   5.5  LP    1.1474479960855608  1.139600  +0.6887%  ok
   6.0  LP    1.1415894488601570  1.133900  +0.6781%  ok
   6.5  LP    1.1366961910574598  1.129400  +0.6460%  ok
   7.0  LP    1.1325541012216229  1.125500  +0.6268%  ok
   7.5  LP    1.1290017018000280  1.122200  +0.6061%  ok
   8.0  LP    1.1259220825198937  1.119200  +0.6006%  ok
   8.5  LP    1.1232177322380825  1.116600  +0.5927%  ok
   9.0  LP    1.1208381955374593  1.114200  +0.5958%  ok
   9.5  SDP   1.1188316688909568  1.112100  +0.6053%  ok
  10.0  SDP   1.1170610631310607  1.110100  +0.6271%  ok
  10.5  SDP   1.1153827494405646  1.108400  +0.6300%  ok
  11.0  SDP   1.1139221361474190  1.106800  +0.6435%  ok
  11.5  SDP   1.1126215843819314  1.105400  +0.6533%  ok
  12.0  SDP   1.1114469381465950  1.104100  +0.6654%  ok
  12.5  SDP   1.1103482840838281  1.103000  +0.6662%  ok
  13.0  SDP   1.1090110943273281  1.101900  +0.6453%  ok
  13.5  SDP   1.1081577613848350  1.100900  +0.6593%  ok
  14.0  SDP   1.1073745029872830  1.100000  +0.6704%  ok
  14.5  SDP   1.1062637964767414  1.099200  +0.6426%  ok
  15.0  SDP   1.1057244615082675  1.098400  +0.6668%  ok
  15.5  SDP   1.1049996707319190  1.097600  +0.6742%  ok
  16.0  SDP   1.1039744866056980  1.096900  +0.6450%  ok
  16.5  SDP   1.1037076107700947  1.096200  +0.6849%  ok
  17.0  SDP   1.1030960215616157  1.095600  +0.6842%  ok
  17.5  SDP   1.1025323512615159  1.095000  +0.6879%  ok
  18.0  SDP   1.1019911074165494  1.094400  +0.6936%  ok
  18.5  SDP   1.1014718645841002  1.093800  +0.7014%  ok
  19.0  SDP   1.1010085877913358  1.093300  +0.7051%  ok
  19.5  SDP   1.1005804498570255  1.092800  +0.7120%  ok
  20.0  SDP   1.1000835956940296  1.092300  +0.7126%  ok
  20.5  SDP   1.0995818248256064  1.091800  +0.7128%  ok
  21.0  SDP   1.0993840222943752  1.091400  +0.7315%  ok
  21.5  SDP   1.0990236828069171  1.091200  +0.7170%  ok
  22.0  SDP   1.0986651015224627  1.090900  +0.7118%  ok
  22.5  SDP   1.0982427870308817  1.090700  +0.6916%  ok
  23.0  SDP   1.0979658740649547  1.090500  +0.6846%  ok
  23.5  SDP   1.0976871718164447  1.090300  +0.6775%  ok
  24.0  SDP   1.0973558414037292  1.090100  +0.6656%  ok
  24.5  SDP   1.0972829463584219  1.090000  +0.6682%  ok
  25.0  SDP   1.0970508459996811  1.089800  +0.6653%  ok
  25.5  SDP   1.0967874328179932  1.089600  +0.6596%  ok
  26.0  SDP   1.0963380206108202  1.089500  +0.6276%  ok
  26.5  SDP   1.0958948980386971  1.089300  +0.6054%  ok
  27.0  SDP   1.0956153198414531  1.089200  +0.5890%  ok
  27.5  SDP   1.0953656943982255  1.089000  +0.5845%  ok
  28.0  SDP   1.0951787824934853  1.088900  +0.5766%  ok
  28.5  SDP   1.0949477091645283  1.088800  +0.5646%  ok
  29.0  SDP   1.0947004759381107  1.088600  +0.5604%  ok
  29.5  SDP   1.0944995281278014  1.088500  +0.5512%  ok
  30.0  SDP   1.0943802573207217  1.088400  +0.5495%  ok
  30.5  SDP   1.0941923325013037  1.088300  +0.5414%  ok
  31.0  SDP   1.0941720124157264  1.088200  +0.5488%  ok
  31.5  SDP   1.0940430534551107  1.088100  +0.5462%  ok
  32.0  SDP   1.0938734895831874  1.088000  +0.5398%  ok
  32.5  SDP   1.0937109643588170  1.087900  +0.5341%  ok
  33.0  SDP   1.0936208702265202  1.087800  +0.5351%  ok
  33.5  SDP   1.0934700802948389  1.087700  +0.5305%  ok
  34.0  SDP   1.0931156542681757  1.087600  +0.5071%  ok
  34.5  SDP   1.0929515526238738  1.087500  +0.5013%  ok

68 row(s) checked, 0 problem(s).
