# dual multiplier for the CMS Extremal Problem 2 constant C_+(A)
# m = 1 on [0,1], the cells below on [1,T], 0 past T; m even.
# C_+(A) <= sup_x |mcheck(x)|,  mcheck(x) = int e^{2 pi i x t} m(t) dt
# 300 geometric cells (p=2.2) on [1,11]; float sup on a 1e-4 grid (not a proof): 1.120412620
# certified in ARB: C_+(12.5) <= 1.12045   (certificates/cplus_dual_cert.py)
A = 12.5
T = 11
cell 1 1048613/1048576 -23/2
cell 1048613/1048576 1048747/1048576 -23/2
cell 1048747/1048576 1048993/1048576 -23/2
cell 1048993/1048576 524681/524288 -23/2
cell 524681/524288 262465/262144 -23/2
cell 262465/262144 525247/524288 -23/2
cell 525247/524288 262817/262144 -23/2
cell 262817/262144 263047/262144 -23/2
cell 263047/262144 131657/131072 -23/2
cell 131657/131072 1054477/1048576 -23/2
cell 1054477/1048576 527927/524288 -23/2
cell 527927/524288 1057389/1048576 -23/2
cell 1057389/1048576 529543/524288 -23/2
cell 529543/524288 1060947/1048576 -23/2
cell 1060947/1048576 1062975/1048576 -23/2
cell 1062975/1048576 266293/262144 -23/2
cell 266293/262144 266885/262144 -23/2
cell 266885/262144 1070081/1048576 -23/2
cell 1070081/1048576 1072797/1048576 -23/2
cell 1072797/1048576 537845/524288 -23/2
cell 537845/524288 1078763/1048576 -23/2
cell 1078763/1048576 33813/32768 -23/2
cell 33813/32768 1085451/1048576 -23/2
cell 1085451/1048576 1089071/1048576 -23/2
cell 1089071/1048576 273219/262144 -23/2
cell 273219/262144 274217/262144 -23/2
cell 274217/262144 1101049/1048576 -23/2
cell 1101049/1048576 276355/262144 -23/2
cell 276355/262144 554991/524288 -23/2
cell 554991/524288 1114737/1048576 -1539387/524288
cell 1114737/1048576 559843/524288 1
cell 559843/524288 562415/524288 1
cell 562415/524288 1130171/1048576 1
cell 1130171/1048576 567855/524288 1
cell 567855/524288 142681/131072 1
cell 142681/131072 1147385/1048576 1
cell 1147385/1048576 1153525/1048576 1
cell 1153525/1048576 579933/524288 1
cell 579933/524288 1166411/1048576 1
cell 1166411/1048576 1173161/1048576 1
cell 1173161/1048576 295029/262144 1
cell 295029/262144 593639/524288 1
cell 593639/524288 1194647/1048576 55623/65536
cell 1194647/1048576 1202225/1048576 -6837557/1048576
cell 1202225/1048576 302503/262144 1
cell 302503/262144 609005/524288 1
cell 609005/524288 1226219/1048576 1
cell 1226219/1048576 1234641/1048576 1
cell 1234641/1048576 1243275/1048576 1
cell 1243275/1048576 313031/262144 1
cell 313031/262144 315297/262144 1
cell 315297/262144 1270467/1048576 1
cell 1270467/1048576 319991/262144 1
cell 319991/262144 1289677/1048576 1
cell 1289677/1048576 1299609/1048576 1
cell 1299609/1048576 20465/16384 1
cell 20465/16384 1320131/1048576 1
cell 1320131/1048576 1330723/1048576 1
cell 1330723/1048576 1341535/1048576 -1663023/524288
cell 1341535/1048576 1352571/1048576 -101361/32768
cell 1352571/1048576 1363829/1048576 1
cell 1363829/1048576 687655/524288 1
cell 687655/524288 1387017/1048576 1
cell 1387017/1048576 349737/262144 1
cell 349737/262144 1411105/1048576 1
cell 1411105/1048576 11121/8192 1
cell 11121/8192 1436099/1048576 -3034877/1048576
cell 1436099/1048576 724469/524288 1
cell 724469/524288 1462005/1048576 1
cell 1462005/1048576 737651/524288 1
cell 737651/524288 372207/262144 1
cell 372207/262144 1502585/1048576 63649/524288
cell 1502585/1048576 1516573/1048576 963537/1048576
