# dual multiplier for the CMS Extremal Problem 2 constant C_+(A)
# m = 1 on [0,1], the cells below on [1,T], 0 past T; m even.
# C_+(A) <= sup_x |mcheck(x)|,  mcheck(x) = int e^{2 pi i x t} m(t) dt
# float sup over x (not a proof): 1.124872886118
A = 15
T = 5
cell 1 538269/524288 -14
cell 538269/524288 276125/262144 -11333815/1048576
cell 276125/262144 566231/524288 1
cell 566231/524288 145053/131072 1
cell 145053/131072 594193/524288 1
cell 594193/524288 304087/262144 261153/524288
cell 304087/262144 622155/524288 -1795207/1048576
cell 622155/524288 79517/65536 1
cell 79517/65536 650117/524288 1
cell 650117/524288 332049/262144 1
cell 332049/262144 678079/524288 -450403/262144
cell 678079/524288 173015/131072 1
cell 173015/131072 706041/524288 1
cell 706041/524288 360011/262144 252525/524288
cell 360011/262144 734003/524288 -295449/262144
cell 734003/524288 46749/32768 1
cell 46749/32768 761965/524288 1
cell 761965/524288 387973/262144 -907193/1048576
cell 387973/262144 1579855/1048576 660069/1048576
cell 1579855/1048576 1607817/1048576 989197/1048576
cell 1607817/1048576 1635779/1048576 -145795/131072
cell 1635779/1048576 1663741/1048576 1
cell 1663741/1048576 1691703/1048576 519895/524288
cell 1691703/1048576 1719665/1048576 -1517305/1048576
cell 1719665/1048576 1747627/1048576 1
cell 1747627/1048576 1775589/1048576 1004253/1048576
cell 1775589/1048576 1803551/1048576 -5105/4096
cell 1803551/1048576 1831513/1048576 1
cell 1831513/1048576 1859475/1048576 322227/1048576
cell 1859475/1048576 1887437/1048576 -348319/1048576
cell 1887437/1048576 1915399/1048576 5415/131072
cell 1915399/1048576 1943361/1048576 64903/65536
cell 1943361/1048576 1971323/1048576 -533841/1048576
cell 1971323/1048576 1999285/1048576 -148123/524288
cell 1999285/1048576 2027247/1048576 1
cell 2027247/1048576 2055209/1048576 -7827/262144
cell 2055209/1048576 2083171/1048576 -842473/1048576
cell 2083171/1048576 2111133/1048576 1
cell 2111133/1048576 2139095/1048576 116045/1048576
cell 2139095/1048576 2167057/1048576 -54345/65536
cell 2167057/1048576 2195019/1048576 1
cell 2195019/1048576 2222981/1048576 -372385/1048576
cell 2222981/1048576 2250943/1048576 -55771/524288
cell 2250943/1048576 2278905/1048576 560955/1048576
cell 2278905/1048576 2306867/1048576 -421203/524288
cell 2306867/1048576 2334829/1048576 1
cell 2334829/1048576 2362791/1048576 -181381/262144
cell 2362791/1048576 2390753/1048576 31485/262144
cell 2390753/1048576 2418715/1048576 7569/524288
cell 2418715/1048576 2446677/1048576 183169/524288
cell 2446677/1048576 2474639/1048576 -935191/1048576
cell 2474639/1048576 2502601/1048576 1
cell 2502601/1048576 2530563/1048576 -289071/262144
cell 2530563/1048576 2558525/1048576 192209/262144
cell 2558525/1048576 2586487/1048576 -194625/524288
cell 2586487/1048576 2614449/1048576 -29087/262144
cell 2614449/1048576 660603/262144 -217125/1048576
cell 660603/262144 1335187/524288 -215247/1048576
cell 1335187/524288 84323/32768 1
cell 84323/32768 1363149/524288 -2046059/1048576
cell 1363149/524288 688565/262144 903453/1048576
cell 688565/262144 1391111/524288 -20559/131072
cell 1391111/524288 351273/131072 546665/1048576
cell 351273/131072 1419073/524288 -2268301/1048576
cell 1419073/524288 716527/262144 59599/65536
cell 716527/262144 1447035/524288 1
cell 1447035/524288 182627/65536 -853459/524288
cell 182627/65536 1474997/524288 -1091513/1048576
cell 1474997/524288 744489/262144 1
cell 744489/262144 1502959/524288 1
cell 1502959/524288 379235/131072 -12393/4096
cell 379235/131072 1530921/524288 160765/524288
cell 1530921/524288 772451/262144 1
cell 772451/262144 1558883/524288 -374859/1048576
cell 1558883/524288 3 -1651619/1048576
cell 3 1586845/524288 1
cell 1586845/524288 800413/262144 1
cell 800413/262144 1614807/524288 1
cell 1614807/524288 407197/131072 1
cell 407197/131072 1642769/524288 1
cell 1642769/524288 828375/262144 6251/65536
cell 828375/262144 1670731/524288 -882311/524288
cell 1670731/524288 210589/65536 1
cell 210589/65536 1698693/524288 1
cell 1698693/524288 856337/262144 -1029703/1048576
cell 856337/262144 1726655/524288 -453909/1048576
cell 1726655/524288 435159/131072 1
cell 435159/131072 1754617/524288 -990995/1048576
cell 1754617/524288 884299/262144 1
cell 884299/262144 1782579/524288 -407227/524288
cell 1782579/524288 112285/32768 -20201/65536
cell 112285/32768 1810541/524288 1
cell 1810541/524288 912261/262144 -193481/262144
cell 912261/262144 3677007/1048576 -236089/1048576
cell 3677007/1048576 3704969/1048576 1
cell 3704969/1048576 3732931/1048576 -339057/262144
cell 3732931/1048576 3760893/1048576 12521/32768
cell 3760893/1048576 3788855/1048576 1
cell 3788855/1048576 3816817/1048576 -197519/131072
cell 3816817/1048576 3844779/1048576 332103/1048576
cell 3844779/1048576 3872741/1048576 1
cell 3872741/1048576 3900703/1048576 -342727/262144
cell 3900703/1048576 3928665/1048576 607595/1048576
cell 3928665/1048576 3956627/1048576 23685/1048576
cell 3956627/1048576 3984589/1048576 -180299/1048576
cell 3984589/1048576 4012551/1048576 -209865/524288
cell 4012551/1048576 4040513/1048576 1
cell 4040513/1048576 4068475/1048576 -129041/131072
cell 4068475/1048576 4096437/1048576 -77063/1048576
cell 4096437/1048576 4124399/1048576 1
cell 4124399/1048576 4152361/1048576 -290829/262144
cell 4152361/1048576 4180323/1048576 576511/1048576
cell 4180323/1048576 4208285/1048576 -459527/1048576
cell 4208285/1048576 4236247/1048576 782477/1048576
cell 4236247/1048576 4264209/1048576 -579343/524288
cell 4264209/1048576 4292171/1048576 1
cell 4292171/1048576 4320133/1048576 -957033/1048576
cell 4320133/1048576 4348095/1048576 1
cell 4348095/1048576 4376057/1048576 -160705/131072
cell 4376057/1048576 4404019/1048576 1
cell 4404019/1048576 4431981/1048576 -63049/131072
cell 4431981/1048576 4459943/1048576 -161097/1048576
cell 4459943/1048576 4487905/1048576 688973/1048576
cell 4487905/1048576 4515867/1048576 -298973/262144
cell 4515867/1048576 4543829/1048576 1
cell 4543829/1048576 4571791/1048576 -9201/1048576
cell 4571791/1048576 4599753/1048576 -554545/524288
cell 4599753/1048576 4627715/1048576 1
cell 4627715/1048576 4655677/1048576 -35961/262144
cell 4655677/1048576 4683639/1048576 -602403/1048576
cell 4683639/1048576 4711601/1048576 1
cell 4711601/1048576 1184891/262144 -177163/131072
cell 1184891/262144 2383763/524288 210687/262144
cell 2383763/524288 149859/32768 1
cell 149859/32768 2411725/524288 -2170721/1048576
cell 2411725/524288 1212853/262144 860849/1048576
cell 1212853/262144 2439687/524288 1
cell 2439687/524288 613417/131072 -231915/524288
cell 613417/131072 2467649/524288 -1292911/1048576
cell 2467649/524288 1240815/262144 1
cell 1240815/262144 2495611/524288 1
cell 2495611/524288 313699/65536 -566453/524288
cell 313699/65536 2523573/524288 -154355/262144
cell 2523573/524288 1268777/262144 1
cell 1268777/262144 2551535/524288 1
cell 2551535/524288 641379/131072 -376465/262144
cell 641379/131072 2579497/524288 -86575/1048576
cell 2579497/524288 1296739/262144 1
cell 1296739/262144 2607459/524288 1
cell 2607459/524288 5 -1770725/1048576
