# dual multiplier for the CMS Extremal Problem 2 constant C_+(A)
# m = 1 on [0,1], the cells below on [1,T], 0 past T; m even.
# C_+(A) <= sup_x |mcheck(x)|,  mcheck(x) = int e^{2 pi i x t} m(t) dt
# 400 geometric cells (p=2.2) on [1,7]; float sup on a 1e-4 grid (not a proof): 1.107857792
# certified in ARB: C_+(28) <= 1.1079   (certificates/cplus_dual_cert.py)
A = 28
T = 7
cell 1 262147/262144 -27
cell 262147/262144 1048631/1048576 -27
cell 1048631/1048576 1048709/1048576 -27
cell 1048709/1048576 524413/524288 -27
cell 524413/524288 1048985/1048576 -27
cell 1048985/1048576 1049187/1048576 -27
cell 1049187/1048576 524717/524288 -27
cell 524717/524288 1049727/1048576 -27
cell 1049727/1048576 1050067/1048576 -27
cell 1050067/1048576 131307/131072 -27
cell 131307/131072 1050895/1048576 -27
cell 1050895/1048576 131423/131072 -27
cell 131423/131072 1051925/1048576 -27
cell 1051925/1048576 526259/524288 -27
cell 526259/524288 263291/262144 -27
cell 263291/262144 131733/131072 -27
cell 131733/131072 527309/524288 -27
cell 527309/524288 263857/262144 -27
cell 263857/262144 528147/524288 -27
cell 528147/524288 1057215/1048576 -27
cell 1057215/1048576 529097/524288 -27
cell 529097/524288 1059231/1048576 -27
cell 1059231/1048576 530163/524288 -27
cell 530163/524288 1061479/1048576 -27
cell 1061479/1048576 1062691/1048576 -27
cell 1062691/1048576 1063963/1048576 -27
cell 1063963/1048576 1065295/1048576 -27
cell 1065295/1048576 16667/16384 -27
cell 16667/16384 534071/524288 -27
cell 534071/524288 1069657/1048576 -27
cell 1069657/1048576 535617/524288 -27
cell 535617/524288 1072873/1048576 -27
cell 1072873/1048576 1074575/1048576 -3235429/524288
cell 1074575/1048576 1076339/1048576 1
cell 1076339/1048576 134771/131072 1
cell 134771/131072 270015/262144 1
cell 270015/262144 33813/32768 1
cell 33813/32768 271009/262144 1
cell 271009/262144 543061/524288 1
cell 543061/524288 68017/65536 1
cell 68017/65536 1090489/1048576 1
cell 1090489/1048576 546385/524288 1
cell 546385/524288 1095119/1048576 1
cell 1095119/1048576 1097533/1048576 1
