# dual multiplier for the CMS Extremal Problem 2 constant C_+(A)
# m = 1 on [0,1], the cells below on [1,T], 0 past T; m even.
# C_+(A) <= sup_x |mcheck(x)|,  mcheck(x) = int e^{2 pi i x t} m(t) dt
# float sup over x (not a proof): 1.114281621428
A = 69/2
T = 5
cell 1 538269/524288 -24893077/1048576
cell 538269/524288 276125/262144 1
cell 276125/262144 566231/524288 -542865/1048576
cell 566231/524288 145053/131072 409259/1048576
cell 145053/131072 594193/524288 6817/65536
cell 594193/524288 304087/262144 162165/1048576
cell 304087/262144 622155/524288 1
cell 622155/524288 79517/65536 -75743/131072
cell 79517/65536 650117/524288 1
cell 650117/524288 332049/262144 -9029/524288
cell 332049/262144 678079/524288 553049/1048576
cell 678079/524288 173015/131072 -41789/524288
cell 173015/131072 706041/524288 1
cell 706041/524288 360011/262144 -306439/524288
cell 360011/262144 734003/524288 1
cell 734003/524288 46749/32768 -38671/1048576
cell 46749/32768 761965/524288 85623/524288
cell 761965/524288 387973/262144 557521/1048576
cell 387973/262144 1579855/1048576 126731/1048576
cell 1579855/1048576 1607817/1048576 15359/1048576
cell 1607817/1048576 1635779/1048576 105473/131072
cell 1635779/1048576 1663741/1048576 -586625/1048576
cell 1663741/1048576 1691703/1048576 1
cell 1691703/1048576 1719665/1048576 -488477/1048576
cell 1719665/1048576 1747627/1048576 718947/1048576
cell 1747627/1048576 1775589/1048576 -49395/524288
cell 1775589/1048576 1803551/1048576 223047/1048576
cell 1803551/1048576 1831513/1048576 25595/65536
cell 1831513/1048576 1859475/1048576 -75711/262144
cell 1859475/1048576 1887437/1048576 374355/524288
cell 1887437/1048576 1915399/1048576 -203555/524288
cell 1915399/1048576 1943361/1048576 34281/65536
cell 1943361/1048576 1971323/1048576 -26589/262144
cell 1971323/1048576 1999285/1048576 209555/1048576
cell 1999285/1048576 2027247/1048576 32987/262144
cell 2027247/1048576 2055209/1048576 -51675/1048576
cell 2055209/1048576 2083171/1048576 396731/1048576
cell 2083171/1048576 2111133/1048576 -351677/1048576
cell 2111133/1048576 2139095/1048576 272749/524288
cell 2139095/1048576 2167057/1048576 -328419/1048576
cell 2167057/1048576 2195019/1048576 74787/262144
cell 2195019/1048576 2222981/1048576 -147841/1048576
cell 2222981/1048576 2250943/1048576 311687/1048576
cell 2250943/1048576 2278905/1048576 -419743/1048576
cell 2278905/1048576 2306867/1048576 64269/131072
cell 2306867/1048576 2334829/1048576 -331241/1048576
cell 2334829/1048576 2362791/1048576 -1695/1048576
cell 2362791/1048576 2390753/1048576 57095/262144
cell 2390753/1048576 2418715/1048576 -248225/1048576
cell 2418715/1048576 2446677/1048576 -130673/1048576
cell 2446677/1048576 2474639/1048576 373849/1048576
cell 2474639/1048576 2502601/1048576 -529629/1048576
cell 2502601/1048576 2530563/1048576 90253/1048576
cell 2530563/1048576 2558525/1048576 137567/1048576
cell 2558525/1048576 2586487/1048576 -187647/524288
cell 2586487/1048576 2614449/1048576 -134925/524288
cell 2614449/1048576 660603/262144 95039/131072
cell 660603/262144 1335187/524288 -715079/524288
cell 1335187/524288 84323/32768 477763/524288
cell 84323/32768 1363149/524288 -136157/262144
cell 1363149/524288 688565/262144 -187301/524288
cell 688565/262144 1391111/524288 -6163/524288
cell 1391111/524288 351273/131072 81853/262144
cell 351273/131072 1419073/524288 -359745/262144
cell 1419073/524288 716527/262144 1
cell 716527/262144 1447035/524288 -317521/524288
cell 1447035/524288 182627/65536 -506277/524288
cell 182627/65536 1474997/524288 499857/524288
cell 1474997/524288 744489/262144 -496223/524288
cell 744489/262144 1502959/524288 -25317/32768
cell 1502959/524288 379235/131072 1
cell 379235/131072 1530921/524288 -808221/524288
cell 1530921/524288 772451/262144 -804499/1048576
cell 772451/262144 1558883/524288 1
cell 1558883/524288 3 -55461/524288
cell 3 1586845/524288 1
cell 1586845/524288 800413/262144 1
cell 800413/262144 1614807/524288 1
cell 1614807/524288 407197/131072 63613/65536
cell 407197/131072 1642769/524288 -961359/1048576
cell 1642769/524288 828375/262144 1
cell 828375/262144 1670731/524288 -253857/524288
cell 1670731/524288 210589/65536 132781/1048576
cell 210589/65536 1698693/524288 -74837/262144
cell 1698693/524288 856337/262144 23455/32768
cell 856337/262144 1726655/524288 -1181947/1048576
cell 1726655/524288 435159/131072 1
cell 435159/131072 1754617/524288 -668977/1048576
cell 1754617/524288 884299/262144 74821/524288
