# dual multiplier for the CMS Extremal Problem 2 constant C_+(A)
# m = 1 on [0,1], the cells below on [1,T], 0 past T; m even.
# C_+(A) <= sup_x |mcheck(x)|,  mcheck(x) = int e^{2 pi i x t} m(t) dt
# float sup over x (not a proof): 1.114281604069
A = 28
T = 5
cell 1 538269/524288 -6223291/262144
cell 538269/524288 276125/262144 1
cell 276125/262144 566231/524288 -8469/16384
cell 566231/524288 145053/131072 409347/1048576
cell 145053/131072 594193/524288 53729/524288
cell 594193/524288 304087/262144 162719/1048576
cell 304087/262144 622155/524288 1
cell 622155/524288 79517/65536 -75759/131072
cell 79517/65536 650117/524288 1
cell 650117/524288 332049/262144 -17641/1048576
cell 332049/262144 678079/524288 276935/524288
cell 678079/524288 173015/131072 -85791/1048576
cell 173015/131072 706041/524288 1
cell 706041/524288 360011/262144 -611975/1048576
cell 360011/262144 734003/524288 1
cell 734003/524288 46749/32768 -37057/1048576
cell 46749/32768 761965/524288 85769/524288
cell 761965/524288 387973/262144 275861/524288
cell 387973/262144 1579855/1048576 68183/524288
cell 1579855/1048576 1607817/1048576 10743/1048576
cell 1607817/1048576 1635779/1048576 842081/1048576
cell 1635779/1048576 1663741/1048576 -586391/1048576
cell 1663741/1048576 1691703/1048576 1
cell 1691703/1048576 1719665/1048576 -242153/524288
cell 1719665/1048576 1747627/1048576 89249/131072
cell 1747627/1048576 1775589/1048576 -96313/1048576
cell 1775589/1048576 1803551/1048576 109689/524288
cell 1803551/1048576 1831513/1048576 414545/1048576
cell 1831513/1048576 1859475/1048576 -151801/524288
cell 1859475/1048576 1887437/1048576 371441/524288
cell 1887437/1048576 1915399/1048576 -402503/1048576
cell 1915399/1048576 1943361/1048576 545577/1048576
cell 1943361/1048576 1971323/1048576 -97465/1048576
cell 1971323/1048576 1999285/1048576 48935/262144
cell 1999285/1048576 2027247/1048576 146727/1048576
cell 2027247/1048576 2055209/1048576 -63699/1048576
cell 2055209/1048576 2083171/1048576 3161/8192
cell 2083171/1048576 2111133/1048576 -177357/524288
cell 2111133/1048576 2139095/1048576 543219/1048576
cell 2139095/1048576 2167057/1048576 -322223/1048576
cell 2167057/1048576 2195019/1048576 72735/262144
cell 2195019/1048576 2222981/1048576 -539/4096
cell 2222981/1048576 2250943/1048576 299399/1048576
cell 2250943/1048576 2278905/1048576 -405987/1048576
cell 2278905/1048576 2306867/1048576 504643/1048576
cell 2306867/1048576 2334829/1048576 -165221/524288
cell 2334829/1048576 2362791/1048576 -2173/1048576
cell 2362791/1048576 2390753/1048576 231857/1048576
cell 2390753/1048576 2418715/1048576 -62371/262144
cell 2418715/1048576 2446677/1048576 -16667/131072
cell 2446677/1048576 2474639/1048576 94619/262144
cell 2474639/1048576 2502601/1048576 -536093/1048576
cell 2502601/1048576 2530563/1048576 25419/262144
cell 2530563/1048576 2558525/1048576 126579/1048576
cell 2558525/1048576 2586487/1048576 -371421/1048576
cell 2586487/1048576 2614449/1048576 -135333/524288
cell 2614449/1048576 660603/262144 381301/524288
cell 660603/262144 1335187/524288 -714213/524288
cell 1335187/524288 84323/32768 948377/1048576
cell 84323/32768 1363149/524288 -536857/1048576
cell 1363149/524288 688565/262144 -379703/1048576
cell 688565/262144 1391111/524288 -4417/524288
cell 1391111/524288 351273/131072 324083/1048576
cell 351273/131072 1419073/524288 -719481/524288
cell 1419073/524288 716527/262144 1
cell 716527/262144 1447035/524288 -633225/1048576
cell 1447035/524288 182627/65536 -1013493/1048576
cell 182627/65536 1474997/524288 1000323/1048576
cell 1474997/524288 744489/262144 -496761/524288
cell 744489/262144 1502959/524288 -101169/131072
cell 1502959/524288 379235/131072 1
cell 379235/131072 1530921/524288 -404377/262144
cell 1530921/524288 772451/262144 -802675/1048576
cell 772451/262144 1558883/524288 1
cell 1558883/524288 3 -111099/1048576
cell 3 1586845/524288 1
cell 1586845/524288 800413/262144 1
cell 800413/262144 1614807/524288 1
cell 1614807/524288 407197/131072 1016037/1048576
cell 407197/131072 1642769/524288 -60061/65536
cell 1642769/524288 828375/262144 1
cell 828375/262144 1670731/524288 -505925/1048576
cell 1670731/524288 210589/65536 130787/1048576
cell 210589/65536 1698693/524288 -298425/1048576
cell 1698693/524288 856337/262144 375527/524288
cell 856337/262144 1726655/524288 -1183457/1048576
cell 1726655/524288 435159/131072 1
cell 435159/131072 1754617/524288 -333495/524288
cell 1754617/524288 884299/262144 74223/524288
cell 884299/262144 1782579/524288 -84961/1048576
cell 1782579/524288 112285/32768 302493/1048576
cell 112285/32768 1810541/524288 -400773/524288
cell 1810541/524288 912261/262144 507535/524288
cell 912261/262144 3677007/1048576 -1017883/1048576
cell 3677007/1048576 3704969/1048576 320899/524288
cell 3704969/1048576 3732931/1048576 -91537/262144
cell 3732931/1048576 3760893/1048576 3571/32768
cell 3760893/1048576 3788855/1048576 -16343/131072
cell 3788855/1048576 3816817/1048576 105213/1048576
cell 3816817/1048576 3844779/1048576 -170437/1048576
cell 3844779/1048576 3872741/1048576 52439/524288
cell 3872741/1048576 3900703/1048576 -218291/1048576
cell 3900703/1048576 3928665/1048576 168215/524288
cell 3928665/1048576 3956627/1048576 -653159/1048576
cell 3956627/1048576 3984589/1048576 815195/1048576
cell 3984589/1048576 4012551/1048576 -14571/16384
cell 4012551/1048576 4040513/1048576 189877/262144
cell 4040513/1048576 4068475/1048576 -38177/65536
cell 4068475/1048576 4096437/1048576 45611/131072
cell 4096437/1048576 4124399/1048576 -301373/1048576
cell 4124399/1048576 4152361/1048576 167961/1048576
cell 4152361/1048576 4180323/1048576 -13323/131072
cell 4180323/1048576 4208285/1048576 -58677/524288
cell 4208285/1048576 4236247/1048576 6925/32768
cell 4236247/1048576 4264209/1048576 -341899/1048576
cell 4264209/1048576 4292171/1048576 238253/1048576
cell 4292171/1048576 4320133/1048576 -85185/524288
cell 4320133/1048576 4348095/1048576 18121/262144
cell 4348095/1048576 4376057/1048576 -177621/1048576
cell 4376057/1048576 4404019/1048576 239947/1048576
cell 4404019/1048576 4431981/1048576 -285545/1048576
cell 4431981/1048576 4459943/1048576 68171/1048576
cell 4459943/1048576 4487905/1048576 98251/524288
cell 4487905/1048576 4515867/1048576 -441401/1048576
cell 4515867/1048576 4543829/1048576 189019/524288
cell 4543829/1048576 4571791/1048576 -59681/524288
cell 4571791/1048576 4599753/1048576 -47867/262144
cell 4599753/1048576 4627715/1048576 963/4096
cell 4627715/1048576 4655677/1048576 -14659/262144
cell 4655677/1048576 4683639/1048576 -369/2048
cell 4683639/1048576 4711601/1048576 49927/262144
cell 4711601/1048576 1184891/262144 154019/1048576
cell 1184891/262144 2383763/524288 -611987/1048576
cell 2383763/524288 149859/32768 206641/262144
cell 149859/32768 2411725/524288 -7759/16384
cell 2411725/524288 1212853/262144 -74243/1048576
cell 1212853/262144 2439687/524288 270223/524288
cell 2439687/524288 613417/131072 -84827/262144
cell 613417/131072 2467649/524288 -212503/1048576
cell 2467649/524288 1240815/262144 418971/524288
cell 1240815/262144 2495611/524288 -677387/1048576
cell 2495611/524288 313699/65536 -1033/524288
cell 313699/65536 2523573/524288 1
cell 2523573/524288 1268777/262144 -1243273/1048576
cell 1268777/262144 2551535/524288 870803/1048576
cell 2551535/524288 641379/131072 243005/1048576
cell 641379/131072 2579497/524288 -278967/524288
cell 2579497/524288 1296739/262144 132243/262144
cell 1296739/262144 2607459/524288 1
cell 2607459/524288 5 -1655845/1048576
